pid,planId,createdAt,status,decision,mcpCall,op_count,op_kinds,risk_level,risk_score,risk_tags,requires_approval,gates_blocked,gates_evaluated,has_external_endpoint
P06,P06_PLN51,2026-04-24T09:01:57.888Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN52,2026-04-24T09:01:57.638Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN53,2026-04-24T09:01:44.511Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN54,2026-04-24T09:01:44.284Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN55,2026-04-24T09:01:44.105Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN56,2026-04-24T09:01:43.929Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN57,2026-04-24T09:01:43.759Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN58,2026-04-24T09:01:43.583Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN59,2026-04-24T09:01:43.324Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN60,2026-04-24T09:01:43.119Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN61,2026-04-24T09:01:25.994Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN62,2026-04-24T09:01:25.804Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN63,2026-04-24T09:01:25.610Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN64,2026-04-24T09:01:25.413Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN65,2026-04-24T09:01:25.138Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN66,2026-04-24T09:01:24.951Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN67,2026-04-24T09:01:24.774Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN68,2026-04-24T09:01:24.594Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN69,2026-04-24T09:01:24.399Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN70,2026-04-24T09:01:03.462Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN71,2026-04-24T09:01:03.187Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN72,2026-04-24T09:01:02.804Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN73,2026-04-24T09:01:02.490Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN74,2026-04-24T09:01:02.220Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN75,2026-04-24T08:59:09.656Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN76,2026-04-24T08:59:09.424Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN77,2026-04-24T08:59:09.127Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN78,2026-04-24T08:59:08.900Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN79,2026-04-24T08:59:08.662Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN80,2026-04-24T08:56:11.866Z,blocked,blocked,ui_remove_component,1,ui.remove_component,low,0,,0,preflight,preflight,0
P06,P06_PLN81,2026-04-24T08:54:34.804Z,rejected,rejected,ui_remove_component,1,ui.remove_component,high,90,R_DELETE,1,approval,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN82,2026-04-24T08:53:50.730Z,applied,approved,ui_remove_component,1,ui.remove_component,high,110,R_DELETE;R_CASCADE_IMPACT,1,approval,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN83,2026-04-24T08:50:24.203Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN84,2026-04-24T08:48:07.157Z,applied,approved,logic_upsert_function,1,logic.upsert_function,medium,75,R_SCRIPT;R_CONTENT_SUSPICIOUS,1,approval,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN85,2026-04-24T08:47:09.331Z,applied,approved,logic_upsert_function,1,logic.upsert_function,medium,75,R_SCRIPT;R_CONTENT_SUSPICIOUS,1,approval,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN86,2026-04-24T08:42:49.540Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN01,2026-04-24T08:18:54.047Z,applied,approved,apply_operations_batch,9,ui.update_component_text,medium,50,R_BULK_CHANGE,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN02,2026-04-24T08:18:49.047Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN03,2026-04-24T08:18:48.859Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN04,2026-04-24T08:18:48.639Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN05,2026-04-24T08:18:48.401Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN06,2026-04-24T08:18:48.117Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN07,2026-04-24T08:18:47.777Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN08,2026-04-24T08:18:47.387Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN09,2026-04-24T08:18:47.138Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN10,2026-04-24T08:18:46.919Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN11,2026-04-24T08:17:34.121Z,applied,approved,apply_operations_batch,6,ui.update_component_text,low,40,R_BULK_CHANGE,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN12,2026-04-24T08:16:13.489Z,applied,approved,apply_operations_batch,12,ui.update_component_text,medium,50,R_BULK_CHANGE,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN13,2026-04-24T08:15:58.550Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN14,2026-04-24T08:15:58.371Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN15,2026-04-24T08:15:58.195Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN16,2026-04-24T08:15:58.011Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN17,2026-04-24T08:15:57.783Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN18,2026-04-24T08:15:57.523Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P05,P05_PLN19,2026-04-24T08:15:57.266Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN20,2026-04-24T08:15:57.005Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
